Vervet-AGM gene name	Gene name
FGFRL1	FGFRL1
FGFRL1	FGFRL1
FGFRL1	FGFRL1
FGFRL1	FGFRL1
FGFRL1	FGFRL1
FGFRL1	FGFRL1
FGFRL1	FGFRL1
DEFB132	DEFB132
	AL034548.1
	RANP7
	SALL4P5
SRRD	SRRD
SRRD	SRRD
SRRD	SRRD
	RPL24P7
	KIR3DL2
	KIR3DL2
	UBE2E2-AS1
	UBE2E2-AS1
	UBE2E2-AS1
	UBE2E2-AS1
GPR162	GPR162
GPR162	GPR162
GPR162	GPR162
GPR162	GPR162
GPR162	GPR162
GPR162	GPR162
GPR162	GPR162
	TRAV8-5
TRAV13-2	TRAV13-2
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
NELFA	NELFA
TRAV14DV4	TRAV14DV4
TRAV9-2	TRAV9-2
	AC003103.1
	AC023315.3
	AATF
	AATF
	AATF
	AATF
	AATF
	AATF
	AATF
	AATF
	AATF
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC005165.1
	AC006455.7
	AC120049.1
	HSPE1P1
	ZNF733P
	ZNF733P
	FOXL3
	FOXL3
	AC188616.1
	AC226118.1
	AC005165.3
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
	SAMD11
DNAJB12	DNAJB12
DNAJB12	DNAJB12
DNAJB12	DNAJB12
DNAJB12	DNAJB12
DNAJB12	DNAJB12
DNAJB12	DNAJB12
	AC005165.2
	AC188617.1
	AC188617.1
	AC188617.1
	AC006455.3
	AC006455.5
	AC006455.5
	AC006455.5
	AC006455.5
	AC006455.5
	AC188617.2
	NPAP1P2
	KRT126P
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
RPS13	RPS13
JCHAIN	JCHAIN
JCHAIN	JCHAIN
JCHAIN	JCHAIN
JCHAIN	JCHAIN
JCHAIN	JCHAIN
JCHAIN	JCHAIN
GID8	GID8
GID8	GID8
	AC006455.6
	AC006455.2
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
USH1C	USH1C
	AC003103.2
C20orf96	C20orf96
C20orf96	C20orf96
C20orf96	C20orf96
	ARAFP3
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
DMTN	DMTN
GUCA2B	GUCA2B
	AC023315.2
	AC006455.1
	AC019103.1
	AC006455.4
	BSN-DT
	BSN-DT
	BSN-DT
	AL133343.2
	AL133343.1
SPEF1	SPEF1
SPEF1	SPEF1
SPEF1	SPEF1
	KRT125P
	NOL4L-DT
	NOL4L-DT
	AC055716.2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
ROCK2	ROCK2
	AL031985.4
	AL034550.2
	AC055716.1
	AL034550.3
	AC079089.3
	RPEP2
	AC091047.1
	AL034550.1
	BTBD10P1
LRRN4	LRRN4
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
SLCO5A1	SLCO5A1
	PABPC1P8
GUCA2A	GUCA2A
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
NOL4L	NOL4L
BSN	BSN
BSN	BSN
	HMGB3P12
	AL118505.1
	AL031005.1
	AC009570.2
	AC009570.2
	KRT127P
	BX322639.1
	BX322639.1
	BX322639.1
	BX322639.1
	BX322639.1
CENPB	CENPB
	CTSLP6
ENAM	ENAM
ENAM	ENAM
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
ECE1	ECE1
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
CRACR2B	CRACR2B
	VENTXP4
	ARL2BPP2
MCM10	MCM10
MCM10	MCM10
MCM10	MCM10
MCM10	MCM10
MCM10	MCM10
MCM10	MCM10
MCM10	MCM10
KRT76	KRT76
	AC105105.2
	BSN-AS1
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
	LINC01370
LRRC3B	LRRC3B
LRRC3B	LRRC3B
LRRC3B	LRRC3B
LRRC3B	LRRC3B
LRRC3B	LRRC3B
LRRC3B	LRRC3B
LRRC3B	LRRC3B
ZFP69B	ZFP69B
ZFP69B	ZFP69B
ZFP69B	ZFP69B
ZFP69B	ZFP69B
	SPDYE13
	PGGT1BP2
	AC107016.2
	PMS2P10
	MEP1AP1
	MIR122HG
	MIR122HG
	MIR122HG
	MIR122HG
	GLYATL1B
	GLYATL1B
	GLYATL1B
	AC093702.1
	AC009236.2
	AL512662.2
	AL512662.2
	AC009236.1
	AC093833.1
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
DBNDD2	DBNDD2
	KIR2DS4
B3GNT2	B3GNT2
B3GNT2	B3GNT2
	SPDYE10P
	SPDYE10P
	LINC01121
	LINC01121
	LINC01121
	LINC01121
	LINC01121
	LINC01121
	AL079301.1
	SFTPD-AS1
	PMS2P6
	KIR3DL3
	AL512662.1
	MBL1P
	MBL1P
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
PHF21B	PHF21B
	AC099754.1
	AC093159.2
	AC093159.1
	BMS1P21
SFTPD	SFTPD
SFTPD	SFTPD
CEP135	CEP135
CEP135	CEP135
CEP135	CEP135
CEP135	CEP135
CEP135	CEP135
HAUS6	HAUS6
HAUS6	HAUS6
HAUS6	HAUS6
	AL357874.2
	AL357874.1
TESK1	TESK1
TESK1	TESK1
TESK1	TESK1
TESK1	TESK1
TESK1	TESK1
TESK1	TESK1
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
EIF5	EIF5
	AC105074.1
	LINC01793
	AL590006.2
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
	FAM95B1
SETBP1	SETBP1
SETBP1	SETBP1
SETBP1	SETBP1
SETBP1	SETBP1
	AL034349.2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
PRDM2	PRDM2
	AC007238.1
	AC007100.2
	ASH2LP1
PNPLA2	PNPLA2
PNPLA2	PNPLA2
PNPLA2	PNPLA2
PNPLA2	PNPLA2
PNPLA2	PNPLA2
PNPLA2	PNPLA2
	AC007092.1
	IGLVI-38
	AC007100.1
	AC007100.1
	IGLV5-37
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	AC007179.2
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	PTPRK
	EIF4A1P7
	AC079089.1
	AC079089.1
	AC079089.1
	AC079089.1
	BX664727.3
	BX664727.3
	BX664727.3
	BX664727.3
	BX664727.3
	ZNRF2P3
	AC073263.3
	AC073263.3
	AC073263.2
CHST15	CHST15
CHST15	CHST15
CHST15	CHST15
CHST15	CHST15
CHST15	CHST15
SKA3	SKA3
SKA3	SKA3
SKA3	SKA3
SKA3	SKA3
SKA3	SKA3
SKA3	SKA3
SKA3	SKA3
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
NTRK2	NTRK2
	KIR2DL4
	KIR2DL4
	KIR2DL4
	KIR2DL4
	KIR2DL4
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
NUP205	NUP205
UCN	UCN
	SNX18P8
	ANKRD20A2P
	ANKRD20A2P
	ANKRD20A2P
	ANKRD20A2P
	AC005586.2
	AC005586.2
TRIM54	TRIM54
TRIM54	TRIM54
TRIM54	TRIM54
TRIM54	TRIM54
	ACTR3C
	ACTR3C
	ACTR3C
	ACTR3C
	ACTR3C
	ACTR3C
	AC021766.1
	AC007179.3
	AC007179.1
	AC007179.1
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
LYPLA2	LYPLA2
	HINT1P2
SH2D4A	SH2D4A
SH2D4A	SH2D4A
SH2D4A	SH2D4A
SH2D4A	SH2D4A
SH2D4A	SH2D4A
SH2D4A	SH2D4A
	AC007132.1
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
	LINC01122
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
PPP1R9A	PPP1R9A
RARRES2	RARRES2
RARRES2	RARRES2
RARRES2	RARRES2
RARRES2	RARRES2
RARRES2	RARRES2
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
CD72	CD72
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	PRPF31
	AIDAP1
	AC068389.2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KCNAB2	KCNAB2
KRT3	KRT3
	BX664727.2
PLAC8	PLAC8
PLAC8	PLAC8
PLAC8	PLAC8
PLAC8	PLAC8
PLAC8	PLAC8
PLAC8	PLAC8
	KIR2DL1
	KIR2DL1
	AL845552.2
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
BEGAIN	BEGAIN
MRPL57	MRPL57
SPI1	SPI1
SPI1	SPI1
SPI1	SPI1
SPI1	SPI1
	KRT4
	KRT4
	KRT4
	KRT4
	KRT4
	ZBED6CL
	ZBED6CL
	AP006621.1
	AP006621.1
LRRC61	LRRC61
LRRC61	LRRC61
LRRC61	LRRC61
	TRAV15
	AC245505.1
	TRAV12-3
	TRAV12-3
TRAV8-6	TRAV8-6
TRAV16	TRAV16
	GAPDHP31
TRAV17	TRAV17
	NIFKP3
	TRAV18
TRAV19	TRAV19
TMEM38B	TMEM38B
TMEM38B	TMEM38B
TMEM38B	TMEM38B
TMEM38B	TMEM38B
TMEM38B	TMEM38B
	AC245505.2
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
RBM4B	RBM4B
	AC090246.1
CFAP53	CFAP53
TRAV20	TRAV20
TRAV21	TRAV21
	AC245505.3
	AC018706.1
	AL049745.2
TRAV22	TRAV22
	AL031985.3
	LINC02627
	LINC02627
	LINC02627
	AC010719.1
	AL603839.4
TRAV23DV6	TRAV23DV6
	AL731574.1
	AL589166.1
	KIR2DL3
TP53TG5	TP53TG5
TP53TG5	TP53TG5
TP53TG5	TP53TG5
TP53TG5	TP53TG5
	LINC02624
	LINC02624
	LINC02624
	LINC02624
	LINC02624
	AC096540.1
	Z83838.1
	Z83838.1
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
FOXJ3	FOXJ3
	AC026616.1
	AC115837.1
	DUSP8P5
	MIR2052HG
	MIR2052HG
	MIR2052HG
	MIR2052HG
	MIR2052HG
	AL391099.1
	KIR3DL1
	RPL23AP59
	CCNYL2
	CCNYL2
	CCNYL2
	GLUD1P3
	GLUD1P3
	AL592437.1
	SPDYE14
	AL592437.2
	NDUFB4P10
PRRT4	PRRT4
PRRT4	PRRT4
PRRT4	PRRT4
PRRT4	PRRT4
PRRT4	PRRT4
PRRT4	PRRT4
PRRT4	PRRT4
	AC211486.6
	SYS1-DBNDD2
	SYS1-DBNDD2
	SYS1-DBNDD2
	SYS1-DBNDD2
	AC005014.1
	RBM14
	RBM14
	RBM14
	RBM14
	RBM14
	RBM14
	RBM14
	RBM14
	RBM14
	AC005014.2
FAM162A	FAM162A
FAM162A	FAM162A
FAM162A	FAM162A
	AC006927.1
RHBDL1	RHBDL1
RHBDL1	RHBDL1
RHBDL1	RHBDL1
RHBDL1	RHBDL1
	AC006927.2
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
AHDC1	AHDC1
	CCDC96
	AC097382.2
	AC115837.2
	AC006927.4
TADA2B	TADA2B
TADA2B	TADA2B
TADA2B	TADA2B
TADA2B	TADA2B
TADA2B	TADA2B
	AC006927.3
PI15	PI15
PI15	PI15
PI15	PI15
	LINC00839
	LINC00839
	LINC00839
	LINC00839
	LINC00839
	LINC00839
	LINC00839
	LINC00839
	LINC00839
CASS4	CASS4
CASS4	CASS4
CASS4	CASS4
	AC097382.1
	C2orf27AP1
	BCL2L12P1
	AC140113.3
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
TBC1D14	TBC1D14
	RBM14-RBM4
	RBM14-RBM4
	RBM14-RBM4
	RBM14-RBM4
	AC140113.2
	AC006927.5
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
	LINC02434
COA5	COA5
COA5	COA5
COA5	COA5
COA5	COA5
COA5	COA5
	AC140113.1
	AL445647.2
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
SYS1	SYS1
	ZNF37BP
	ZNF37BP
	ZNF37BP
	ZNF37BP
	AC134878.1
	LINC00397
	LINC00397
	AC068880.4
	AC093789.1
	ICE2P1
	AC105105.4
	AC072039.2
	AL133419.1
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	RBM4
	PPP2R3A
	PPP2R3A
	PPP2R3A
	PPP2R3A
	PPP2R3A
	AL009050.1
	ANKRD20A6P
	AC134878.2
	AC134878.2
	AC134878.2
	SNHG8
	SNHG8
	SNHG8
	SNHG8
	SNHG8
	SNHG8
	SNHG8
	SNHG8
	SNHG8
MAFB	MAFB
APOBEC1	APOBEC1
APOBEC1	APOBEC1
	SNX18P1Y
	AL445647.1
	AC011632.1
	AC011632.1
	AC011632.1
	TET1P1
	LINC00373
	RPL29P29
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
ZNF500	ZNF500
	RPL39P
WDR5B	WDR5B
	DUX4L16
	AL603839.3
	PPIAP60
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
SORT1	SORT1
ZFP69	ZFP69
ZFP69	ZFP69
ZFP69	ZFP69
	AC099344.1
	AC099344.2
	AC114781.1
	AC114781.3
PRSS12	PRSS12
PRSS12	PRSS12
PRSS12	PRSS12
PRSS12	PRSS12
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	FAAP20
	AC114781.2
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	LINC00570
	AC119619.1
DDX50	DDX50
DDX50	DDX50
DDX50	DDX50
DDX50	DDX50
DDX50	DDX50
DDX50	DDX50
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
FRMPD4	FRMPD4
	GAPDHP60
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
FCHSD2	FCHSD2
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
KLHL8	KLHL8
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
CHD7	CHD7
	AC027506.1
	AP002907.1
	KIR3DP1
	KIR3DP1
	UBR5-AS1
	UBR5-AS1
	UBR5-AS1
	AC090348.1
	AC007948.1
	KIR2DP1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
IARS1	IARS1
	AC007631.1
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
ANKS3	ANKS3
