#Mouse Gene	Human Gene	Source
Dclk1	DCLK1	MGI, PanEnsembl, HomoloGene
Nxph1	NXPH1	MGI, PanEnsembl, HomoloGene
Atf7ip	ATF7IP	MGI, PanEnsembl, HomoloGene
Utp14b	UTP14C	MGI, PanEnsembl, HomoloGene
Utp14a	UTP14C	PanEnsembl
Gm355	SPDYC	PanEnsembl
Micall2	MICALL2	MGI, PanEnsembl, HomoloGene
Bbox1	BBOX1	MGI, PanEnsembl, HomoloGene
Gm1758	ANKRD18A	PanEnsembl
Nemp1	NEMP1	MGI
Tmem194	NEMP1	PanEnsembl, HomoloGene
Rbpms	RBPMS	MGI, PanEnsembl, HomoloGene
Tusc3	TUSC3	MGI, PanEnsembl, HomoloGene
Sec22b	SEC22B	MGI, HomoloGene
Scn2b	SCN2B	MGI, PanEnsembl, HomoloGene
Zfp867	ZNF627	MGI, HomoloGene
Orc2	ORC2	MGI, PanEnsembl, HomoloGene
Synm	SYNM	MGI, PanEnsembl, HomoloGene
Olfml1	OLFML1	MGI, PanEnsembl, HomoloGene
Zfp324	ZNF324	MGI, PanEnsembl, HomoloGene
Tob1	TOB1	MGI, PanEnsembl, HomoloGene
Evc2	EVC2	MGI, PanEnsembl, HomoloGene
Zfp326	ZNF326	MGI, PanEnsembl, HomoloGene
Strap	STRAP	MGI, PanEnsembl, HomoloGene
Palld	PALLD	MGI, PanEnsembl, HomoloGene
Anapc5	ANAPC5	MGI, PanEnsembl, HomoloGene
Ccdc146	CCDC146	MGI, PanEnsembl, HomoloGene
Aif1	AIF1	MGI, PanEnsembl, HomoloGene
Slc15a5	SLC15A5	MGI, PanEnsembl, HomoloGene
Rgs7bp	RGS7BP	MGI, PanEnsembl, HomoloGene
Ccnt1	CCNT1	MGI, PanEnsembl, HomoloGene
Sf3b1	SF3B1	MGI, PanEnsembl, HomoloGene
Nek5	NEK5	MGI, PanEnsembl, HomoloGene
Gtf2e2	GTF2E2	MGI, PanEnsembl, HomoloGene
Lilra6	LILRA4	PanEnsembl
Olfr370	OR10K2	MGI, PanEnsembl, HomoloGene, HORDE
Clec16a	CLEC16A	MGI, PanEnsembl, HomoloGene
Dapl1	DAPL1	MGI, PanEnsembl, HomoloGene
Golga2	GOLGA6C	PanEnsembl
Daam1	DAAM1	MGI, PanEnsembl, HomoloGene
Cd163l1	CD163L1	PanEnsembl
Cyp46a1	CYP46A1	MGI, PanEnsembl, HomoloGene
Gmppa	GMPPA	MGI, PanEnsembl, HomoloGene
Aldob	ALDOB	MGI, PanEnsembl, HomoloGene
Sohlh2	CCDC169-SOHLH2	MGI, PanEnsembl, HomoloGene
Adgb	ADGB	MGI, PanEnsembl, HomoloGene
2410141K09Rik	ZNF891	PanEnsembl
Dnaja4	DNAJA4	MGI, PanEnsembl, HomoloGene
Kcns2	KCNS2	MGI, PanEnsembl, HomoloGene
Fasl	FASLG	MGI, PanEnsembl, HomoloGene
Olfr160	OR8A1	MGI, PanEnsembl, HORDE
Olfr151	OR8A1	HomoloGene
Olfr151-ps1	OR8A1	HORDE
Olfr974	OR8A1	HORDE
Ston1	STON1	MGI, PanEnsembl, HomoloGene
Layn	LAYN	MGI, PanEnsembl, HomoloGene
Nap1l2	NAP1L2	MGI, PanEnsembl, HomoloGene
Hectd4	HECTD4	MGI
Gm15800	HECTD4	PanEnsembl, HomoloGene
Ston1	STON1-GTF2A1L	PanEnsembl
Olfr414	OR6P1	MGI, PanEnsembl, HomoloGene, HORDE
Als2	ALS2	MGI, PanEnsembl, HomoloGene
Gnpda2	GNPDA2	MGI, PanEnsembl, HomoloGene
Nup62cl	NUP62CL	PanEnsembl
Gabrg3	GABRG3	MGI, PanEnsembl, HomoloGene
Rgl1	RGL1	MGI, PanEnsembl, HomoloGene
Cyc1	CYC1	MGI, PanEnsembl, HomoloGene
Ppp3cb	PPP3CB	MGI, PanEnsembl, HomoloGene
Itih2	ITIH2	MGI, PanEnsembl, HomoloGene
Zfp459	ZNF302	PanEnsembl
Efl1	EFL1	MGI
Eftud1	EFL1	PanEnsembl, HomoloGene
Fam227b	FAM227B	MGI, PanEnsembl, HomoloGene
Clvs1	CLVS1	MGI, PanEnsembl, HomoloGene
Pnma3	PNMA3	MGI, PanEnsembl, HomoloGene
Irak2	IRAK2	MGI, PanEnsembl, HomoloGene
Ccdc190	CCDC190	MGI
1700084C01Rik	CCDC190	PanEnsembl, HomoloGene
Ribc1	RIBC1	MGI, PanEnsembl, HomoloGene
Cbx1	CBX1	MGI, PanEnsembl, HomoloGene
Adam9	ADAM9	MGI, PanEnsembl, HomoloGene
Plekhn1	PLEKHN1	MGI, PanEnsembl, HomoloGene
Itfg1	ITFG1	MGI, PanEnsembl, HomoloGene
Tlx2	TLX2	MGI, PanEnsembl, HomoloGene
Arhgef38	ARHGEF38	PanEnsembl
Ccdc173	CCDC173	MGI, PanEnsembl, HomoloGene
Pex2	PEX2	MGI, PanEnsembl, HomoloGene
Nanp	NANP	MGI, PanEnsembl, HomoloGene
Gm6741	NANP	PanEnsembl
Cd86	CD86	MGI, PanEnsembl, HomoloGene
Glipr1l2	GLIPR1L2	MGI, PanEnsembl, HomoloGene
Gtf2ird2	GTF2IRD2	PanEnsembl
Zpbp2	ZPBP2	MGI, PanEnsembl, HomoloGene
Grik1	GRIK1	MGI, PanEnsembl, HomoloGene
Slc22a23	SLC22A23	MGI, PanEnsembl, HomoloGene
Shcbp1	SHCBP1	MGI, PanEnsembl, HomoloGene
Exoc1	EXOC1	MGI, PanEnsembl, HomoloGene
Clec4d	CLEC4D	MGI, PanEnsembl, HomoloGene
Mrps9	MRPS9	MGI, PanEnsembl, HomoloGene
Wdr35	WDR35	MGI, PanEnsembl, HomoloGene
Uggt2	UGGT2	MGI, PanEnsembl, HomoloGene
Frrs1l	FRRS1L	MGI, PanEnsembl, HomoloGene
Msi2	MSI2	MGI, PanEnsembl, HomoloGene
Serpinb3d	SERPINB3	MGI, PanEnsembl, HomoloGene
Serpinb3a	SERPINB3	PanEnsembl
Serpinb3b	SERPINB3	PanEnsembl
Serpinb3c	SERPINB3	PanEnsembl
0610010F05Rik	KIAA1841	MGI, PanEnsembl, HomoloGene
Tbxas1	TBXAS1	MGI, PanEnsembl, HomoloGene
Eif3i	EIF3I	MGI, PanEnsembl, HomoloGene
Cd59b	CD59	MGI, PanEnsembl, HomoloGene
Cd59a	CD59	PanEnsembl
Serpinb3a	SERPINB4	MGI, PanEnsembl, HomoloGene
Serpinb3d	SERPINB4	PanEnsembl
Serpinb3b	SERPINB4	PanEnsembl
Serpinb3c	SERPINB4	PanEnsembl
Uros	UROS	MGI, PanEnsembl, HomoloGene
Hsd17b6	HSD17B6	MGI, PanEnsembl, HomoloGene
Slain1	SLAIN1	MGI, PanEnsembl, HomoloGene
Ampd3	AMPD3	MGI, PanEnsembl, HomoloGene
Spata22	SPATA22	MGI, PanEnsembl, HomoloGene
Pkd2l2	PKD2L2	MGI, PanEnsembl, HomoloGene
Zmat1	ZMAT1	MGI, PanEnsembl, HomoloGene
Fcer2a	FCER2	MGI, PanEnsembl, HomoloGene
Spata48	SPATA48	MGI
4930415F15Rik	SPATA48	PanEnsembl, HomoloGene
Ppp2r2a	PPP2R2A	MGI, PanEnsembl, HomoloGene
Slc13a4	SLC13A4	MGI, PanEnsembl, HomoloGene
Ccdc112	CCDC112	MGI, PanEnsembl, HomoloGene
Cdc42bpa	CDC42BPA	MGI, PanEnsembl, HomoloGene
Phldb3	PHLDB3	MGI, PanEnsembl, HomoloGene
Ercc5	BIVM-ERCC5	PanEnsembl
Trdn	TRDN	MGI, PanEnsembl, HomoloGene
Cfap97d1	CFAP97D1	MGI
1700006E09Rik	CFAP97D1	PanEnsembl, HomoloGene
Ercc5	ERCC5	MGI, PanEnsembl, HomoloGene
Dnajc2	DNAJC2	MGI, PanEnsembl, HomoloGene
Adgrd1	ADGRD1	MGI
Gpr133	ADGRD1	PanEnsembl, HomoloGene
Fbp1	FBP1	MGI, PanEnsembl, HomoloGene
Pygo2	PYGO2	MGI, PanEnsembl, HomoloGene
Olfr1086	OR5T2	MGI, PanEnsembl, HomoloGene, HORDE
Olfr141	OR5T2	PanEnsembl, HORDE
Olfr1095	OR5T2	PanEnsembl, HORDE
Olfr1101	OR5T2	PanEnsembl, HORDE
Olfr1088-ps1	OR5T2	HORDE
Uvrag	UVRAG	MGI, PanEnsembl, HomoloGene
Tmem208	TMEM208	MGI, PanEnsembl, HomoloGene
Phf7	PHF7	MGI, PanEnsembl, HomoloGene
6430548M08Rik	KIAA0513	MGI, PanEnsembl, HomoloGene
Slc35e1	SLC35E1	MGI, PanEnsembl, HomoloGene
Ppp2ca	PPP2CA	MGI, PanEnsembl, HomoloGene
Proz	PROZ	MGI, PanEnsembl, HomoloGene
Zfp78	ZNF471	MGI, HomoloGene
Zfp84	ZNF471	PanEnsembl
Cep295nl	CEP295NL	MGI
BC100451	CEP295NL	PanEnsembl, HomoloGene
Cdk11b	CDK11B	PanEnsembl
Rbmx2	RBMX2	MGI, PanEnsembl, HomoloGene
Dnajc15	DNAJC15	MGI, PanEnsembl, HomoloGene
Herc2	HERC2	MGI, PanEnsembl, HomoloGene
Acer3	ACER3	MGI, PanEnsembl, HomoloGene
Timm21	TIMM21	MGI, PanEnsembl, HomoloGene
Smc6	SMC6	MGI, PanEnsembl, HomoloGene
Pdp1	PDP1	MGI, PanEnsembl, HomoloGene
Ubn1	UBN1	MGI, PanEnsembl, HomoloGene
Alg6	ALG6	MGI, PanEnsembl, HomoloGene
Bub1b	BUB1B	MGI, PanEnsembl, HomoloGene
Igf2bp2	IGF2BP2	MGI, PanEnsembl, HomoloGene
Zeb2	ZEB2	MGI, PanEnsembl, HomoloGene
Alg11	ALG11	MGI, PanEnsembl, HomoloGene
Pfdn4	PFDN4	MGI, PanEnsembl, HomoloGene
Eefsec	EEFSEC	MGI, PanEnsembl, HomoloGene
Abca5	ABCA5	MGI, PanEnsembl, HomoloGene
Ubr3	UBR3	MGI, PanEnsembl, HomoloGene
Atraid	ATRAID	MGI, PanEnsembl, HomoloGene
Tro	TRO	MGI, PanEnsembl, HomoloGene
Rasgrf1	RASGRF1	MGI, PanEnsembl, HomoloGene
Cfap221	CFAP221	MGI
Gm101	CFAP221	PanEnsembl, HomoloGene
Rbm48	RBM48	MGI, PanEnsembl, HomoloGene
Brca2	BRCA2	MGI, PanEnsembl, HomoloGene
Opa1	OPA1	MGI, PanEnsembl, HomoloGene
Ralbp1	RALBP1	MGI, PanEnsembl, HomoloGene
Dsc1	DSC1	MGI, PanEnsembl, HomoloGene
Calml4	CALML4	MGI, PanEnsembl, HomoloGene
Ywhaz	YWHAZ	MGI, PanEnsembl, HomoloGene
Gpx8	GPX8	MGI, PanEnsembl, HomoloGene
Tjp3	TJP3	MGI, PanEnsembl, HomoloGene
Mmp20	MMP20	MGI, PanEnsembl, HomoloGene
Hmgb3	HMGB3	PanEnsembl
Gm6104	HMGB3	PanEnsembl
Pxylp1	PXYLP1	MGI
Acpl2	PXYLP1	PanEnsembl, HomoloGene
Pcdhb19	PCDHB12	MGI, PanEnsembl, HomoloGene
Pdap1	PDAP1	MGI, PanEnsembl, HomoloGene
Apbb3	APBB3	MGI, PanEnsembl, HomoloGene
Radx	RADX	MGI
D330045A20Rik	RADX	PanEnsembl, HomoloGene
Il1f6	IL36A	MGI, PanEnsembl, HomoloGene
Carf	CARF	MGI, PanEnsembl, HomoloGene
Rab11fip2	RAB11FIP2	MGI, PanEnsembl, HomoloGene
Ninl	NINL	MGI, PanEnsembl, HomoloGene
Cog2	COG2	MGI, PanEnsembl, HomoloGene
Ncbp2	NCBP2	MGI, PanEnsembl, HomoloGene
Pcp4l1	PCP4L1	PanEnsembl
Fitm1	FITM1	MGI, PanEnsembl, HomoloGene
Fer1l6	FER1L6	MGI, PanEnsembl, HomoloGene
Apip	APIP	MGI, PanEnsembl, HomoloGene
Ncam2	NCAM2	MGI, PanEnsembl, HomoloGene
Pdrg1	PDRG1	MGI, PanEnsembl, HomoloGene
Fip1l1	FIP1L1	PanEnsembl
Arhgef7	ARHGEF7	MGI, PanEnsembl, HomoloGene
Ddx18	DDX18	MGI, PanEnsembl, HomoloGene
Lmtk2	LMTK2	MGI, PanEnsembl, HomoloGene
Hmga1b	HMGA1	MGI
Hmga1-rs1	HMGA1	PanEnsembl, HomoloGene
Hmga1	HMGA1	PanEnsembl
Ei24	EI24	MGI, PanEnsembl, HomoloGene
Lyg2	LYG2	MGI, PanEnsembl, HomoloGene
Cfap298	CFAP298	MGI
1110004E09Rik	CFAP298	HomoloGene
Guca2a	GUCA2A	MGI, PanEnsembl, HomoloGene
Olfm4	OLFM4	MGI, PanEnsembl, HomoloGene
Kcnip1	KCNIP1	MGI, PanEnsembl, HomoloGene
Polr3e	POLR3E	MGI, PanEnsembl, HomoloGene
Rplp1	RPLP1	PanEnsembl
Gm10073	RPLP1	PanEnsembl
Gm17511	RPLP1	PanEnsembl
Zfp329	ZNF329	MGI, PanEnsembl, HomoloGene
Tmem38b	TMEM38B	MGI, PanEnsembl, HomoloGene
Syt10	SYT10	MGI, PanEnsembl, HomoloGene
Mstn	MSTN	MGI, PanEnsembl, HomoloGene
Skap1	SKAP1	MGI, PanEnsembl, HomoloGene
Sohlh2	SOHLH2	PanEnsembl
Trmt9b	TRMT9B	MGI
6430573F11Rik	TRMT9B	PanEnsembl, HomoloGene
Fam135b	FAM135B	MGI, PanEnsembl, HomoloGene
Suclg1	SUCLG1	MGI, PanEnsembl, HomoloGene
Fam72a	FAM72A	MGI, PanEnsembl, HomoloGene
Fam72a	FAM72B	PanEnsembl
Akr1c6	AKR1C4	MGI, PanEnsembl, HomoloGene
Akr1c20	AKR1C4	PanEnsembl
Akr1c21	AKR1C4	PanEnsembl
Akr1cl	AKR1C4	PanEnsembl
Akr1c18	AKR1C4	PanEnsembl
Akr1c19	AKR1C4	PanEnsembl
Akr1c14	AKR1C4	PanEnsembl
Akr1c12	AKR1C4	PanEnsembl
Akr1c13	AKR1C4	PanEnsembl
Tes	TES	MGI, PanEnsembl, HomoloGene
Gm4907	TES	PanEnsembl
Gm4985	TES	PanEnsembl
Dock1	DOCK1	MGI, PanEnsembl, HomoloGene
Rb1	RB1	MGI, PanEnsembl, HomoloGene
Gm9745	IDI2	PanEnsembl
Idi2	IDI2	PanEnsembl
Cyp2f2	CYP2F1	MGI, PanEnsembl, HomoloGene
Ccdc152	CCDC152	MGI, PanEnsembl, HomoloGene
Cdk15	CDK15	MGI, PanEnsembl, HomoloGene
Olfr790	OR6C75	MGI, PanEnsembl, HomoloGene, HORDE
Ddx52	DDX52	MGI, HomoloGene
Dmtn	DMTN	MGI, PanEnsembl, HomoloGene
Galnt3	GALNT3	MGI, PanEnsembl, HomoloGene
Grina	GRINA	MGI, PanEnsembl, HomoloGene
Slc9b1	SLC9B1	MGI, PanEnsembl, HomoloGene
Olfr1289	OR4F5	PanEnsembl
Slc39a9	SLC39A9	MGI, PanEnsembl, HomoloGene
Psmd14	PSMD14	MGI, PanEnsembl, HomoloGene
Tbca	TBCA	MGI, PanEnsembl, HomoloGene
Cltb	CLTB	MGI, PanEnsembl, HomoloGene
Gpr82	GPR82	MGI, PanEnsembl, HomoloGene
Selenot	SELENOT	MGI
Selt	SELENOT	PanEnsembl, HomoloGene
Nme5	NME5	MGI, PanEnsembl, HomoloGene
Ptpra	PTPRA	MGI, PanEnsembl, HomoloGene
Gbgt1	GBGT1	MGI, PanEnsembl, HomoloGene
Mrps31	MRPS31	MGI, PanEnsembl, HomoloGene
Eva1c	EVA1C	MGI, PanEnsembl, HomoloGene
Ptges3l	PTGES3L	MGI, HomoloGene
Rps13	RPS13	MGI, PanEnsembl, HomoloGene
Ssr4	SSR4	MGI, PanEnsembl, HomoloGene
Tcp11x2	TCP11X2	MGI
1700008I05Rik	TCP11X2	PanEnsembl, HomoloGene
Tec	TEC	MGI, PanEnsembl, HomoloGene
Pmm2	PMM2	MGI, PanEnsembl, HomoloGene
Olfr1289	OR4F4	PanEnsembl, HORDE
Olfr1291-ps1	OR4F4	HORDE
Olfr1283	OR4F4	HORDE
Olfr1280	OR4F4	HORDE
Olfr1287	OR4F4	HORDE
Olfr1300-ps1	OR4F4	HORDE
Olfr1302	OR4F4	HORDE
Olfr1289	OR4F17	PanEnsembl
Olfr1293-ps1	OR4F17	HORDE
Olfr1282	OR4F17	HORDE
Olfr1285-ps1	OR4F17	HORDE
Olfr1286	OR4F17	HORDE
Il5ra	IL5RA	MGI, PanEnsembl, HomoloGene
Card6	CARD6	MGI, PanEnsembl, HomoloGene
Fam114a1	FAM114A1	MGI, PanEnsembl, HomoloGene
Fam129a	NIBAN1	MGI, PanEnsembl, HomoloGene
Kifap3	KIFAP3	MGI, PanEnsembl, HomoloGene
Slc44a3	SLC44A3	MGI, PanEnsembl, HomoloGene
Aldh1a2	ALDH1A2	MGI, PanEnsembl, HomoloGene
Ddx19b	DDX19B	MGI, PanEnsembl, HomoloGene
Fam13b	FAM13B	MGI, PanEnsembl, HomoloGene
Fkbp7	FKBP7	MGI, PanEnsembl, HomoloGene
Rab39	RAB39A	MGI, PanEnsembl, HomoloGene
Adam18	ADAM18	MGI, PanEnsembl, HomoloGene
Rd3l	RD3L	MGI
BC048943	RD3L	PanEnsembl, HomoloGene
Cbx3	CBX3	MGI, PanEnsembl, HomoloGene
Gm10068	CBX3	PanEnsembl
Prrt2	PRRT2	MGI, PanEnsembl, HomoloGene
Commd8	COMMD8	MGI, PanEnsembl, HomoloGene
Agpat5	AGPAT5	MGI, PanEnsembl, HomoloGene
Mettl25	METTL25	MGI, PanEnsembl, HomoloGene
Vapa	VAPA	MGI, PanEnsembl, HomoloGene
Nmrk1	NMRK1	MGI, PanEnsembl, HomoloGene
Rpl39	RPL39	MGI, PanEnsembl, HomoloGene
Ccdc174	CCDC174	MGI, PanEnsembl, HomoloGene
Cdc37l1	CDC37L1	MGI, PanEnsembl, HomoloGene
Ch25h	CH25H	MGI, PanEnsembl, HomoloGene
Zfat	ZFAT	MGI, PanEnsembl, HomoloGene
Cabyr	CABYR	MGI, PanEnsembl, HomoloGene
Pole2	POLE2	MGI, PanEnsembl, HomoloGene
